epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
64,659.11,0.72414,0.33477,0.0622,0.46267,0.90271,0.91075,0.93288,0.95513,0.7826,0.91986,0.94221,0.96719,0.90511,0.71269,0.25979,0.37673,0.58701,0.94761,0.0011684,0.0011684,0.0011684
65,668.025,0.69089,0.29758,0.05835,0.44836,0.9034,0.92259,0.91418,0.95536,0.78469,0.93169,0.92351,0.96241,0.91354,0.74354,0.26156,0.43877,0.53598,0.94852,0.0011552,0.0011552,0.0011552
66,677.645,0.70873,0.33711,0.07225,0.45497,0.90376,0.92793,0.91231,0.94944,0.77585,0.93932,0.92351,0.96408,0.89879,0.74683,0.2881,0.41622,0.56739,0.96062,0.001142,0.001142,0.001142
67,687.003,0.71781,0.32347,0.0679,0.48057,0.89706,0.93366,0.919,0.95609,0.77926,0.94593,0.93097,0.96872,0.91487,0.76894,0.24872,0.39262,0.62537,0.97958,0.0011288,0.0011288,0.0011288
68,696.121,0.73564,0.31289,0.06857,0.47384,0.9032,0.9372,0.91881,0.93737,0.74896,0.94861,0.92993,0.95384,0.90169,0.77039,0.24853,0.41318,0.59501,0.96462,0.0011156,0.0011156,0.0011156
69,705.235,0.71063,0.31127,0.07382,0.46179,0.90118,0.92869,0.899,0.94045,0.76279,0.94218,0.91206,0.95549,0.90074,0.76676,0.26806,0.42306,0.60583,0.95592,0.0011024,0.0011024,0.0011024
70,714.48,0.71588,0.31634,0.07142,0.46313,0.90084,0.88279,0.87122,0.90466,0.72865,0.89989,0.88885,0.92426,0.86532,0.78501,0.28624,0.41387,0.80727,0.97355,0.0010892,0.0010892,0.0010892
71,723.376,0.69783,0.30679,0.06358,0.45801,0.89205,0.93116,0.93097,0.9578,0.78835,0.94236,0.94216,0.9696,0.91539,0.71037,0.25211,0.42398,0.54929,0.9385,0.001076,0.001076,0.001076
72,732.953,0.68401,0.29431,0.06123,0.45162,0.8876,0.9375,0.90299,0.94807,0.78264,0.94913,0.91418,0.96501,0.90528,0.74649,0.2707,0.43841,0.58049,0.9532,0.0010628,0.0010628,0.0010628
73,742.058,0.70396,0.30025,0.06711,0.45516,0.89605,0.94069,0.93284,0.96352,0.80457,0.95033,0.94216,0.97265,0.91459,0.72406,0.26429,0.42906,0.52242,0.94872,0.0010496,0.0010496,0.0010496
74,751.482,0.69645,0.29057,0.07078,0.44692,0.90353,0.93604,0.9291,0.95537,0.78996,0.94751,0.9403,0.97286,0.91856,0.75056,0.25296,0.45731,0.56339,0.9524,0.0010364,0.0010364,0.0010364
75,760.054,0.7045,0.31741,0.0614,0.45026,0.89544,0.93648,0.94216,0.96196,0.78664,0.94555,0.95149,0.97203,0.9127,0.74756,0.25886,0.40888,0.54495,0.95802,0.0010232,0.0010232,0.0010232
76,768.588,0.689,0.30386,0.06466,0.44335,0.89332,0.93031,0.92155,0.95395,0.7851,0.94206,0.94037,0.9702,0.91771,0.69981,0.24343,0.4513,0.57785,0.93802,0.00101,0.00101,0.00101
77,777.639,0.68165,0.25922,0.06001,0.44062,0.87925,0.93161,0.90112,0.94721,0.77482,0.946,0.91518,0.96458,0.90695,0.71784,0.25921,0.45997,0.57658,0.93985,0.0009968,0.0009968,0.0009968
78,786.429,0.67349,0.332,0.06575,0.44664,0.88533,0.93291,0.89179,0.94029,0.77912,0.94072,0.89925,0.95289,0.8922,0.69544,0.29868,0.44408,0.59525,0.9373,0.0009836,0.0009836,0.0009836
79,795.623,0.65693,0.26442,0.06722,0.43369,0.89106,0.91391,0.91103,0.94196,0.77553,0.94935,0.90922,0.95658,0.90075,0.74136,0.28109,0.46535,0.5895,0.95388,0.0009704,0.0009704,0.0009704
80,804.752,0.65919,0.29276,0.05833,0.43964,0.88247,0.9361,0.92164,0.95703,0.80112,0.94513,0.93202,0.97059,0.92239,0.71277,0.24785,0.43235,0.53999,0.93917,0.0009572,0.0009572,0.0009572
81,814.107,0.64778,0.28892,0.06392,0.42296,0.87214,0.94381,0.90672,0.95489,0.79329,0.94484,0.92679,0.96837,0.91816,0.69847,0.25158,0.44913,0.53972,0.9398,0.000944,0.000944,0.000944
82,823.158,0.64121,0.2491,0.05586,0.427,0.8778,0.93583,0.89792,0.94173,0.78165,0.94767,0.91225,0.96067,0.91026,0.71065,0.25019,0.50675,0.57639,0.94049,0.0009308,0.0009308,0.0009308
83,832.377,0.65646,0.27665,0.0591,0.43599,0.88254,0.94629,0.9204,0.9503,0.79889,0.9578,0.9316,0.96514,0.90365,0.68886,0.25742,0.42549,0.52818,0.93025,0.0009176,0.0009176,0.0009176
84,841.486,0.65069,0.28818,0.06338,0.43756,0.88469,0.94009,0.90755,0.95086,0.80266,0.94975,0.91672,0.9667,0.90937,0.68873,0.26592,0.47594,0.56015,0.93193,0.0009044,0.0009044,0.0009044
85,851.017,0.65163,0.25755,0.0551,0.43023,0.87936,0.93365,0.91889,0.9476,0.78243,0.94692,0.93195,0.9662,0.91275,0.70656,0.24664,0.46613,0.56292,0.94976,0.0008912,0.0008912,0.0008912
86,860.761,0.66323,0.28761,0.06432,0.43256,0.88842,0.93762,0.89738,0.94999,0.7964,0.94865,0.90858,0.96526,0.91512,0.70115,0.25637,0.40813,0.57864,0.93262,0.000878,0.000878,0.000878
87,870.12,0.65085,0.28962,0.05664,0.43131,0.87931,0.91679,0.91231,0.94527,0.7839,0.92803,0.92351,0.96254,0.90827,0.69424,0.25395,0.46434,0.54164,0.93451,0.0008648,0.0008648,0.0008648
88,879.441,0.6501,0.29022,0.06139,0.43464,0.87804,0.91831,0.90178,0.9482,0.77705,0.93127,0.91231,0.96388,0.90695,0.72546,0.28798,0.46906,0.55434,0.94521,0.0008516,0.0008516,0.0008516
89,889.636,0.66042,0.29041,0.05657,0.42906,0.88414,0.93409,0.87127,0.93305,0.76474,0.95173,0.88294,0.95211,0.8892,0.72064,0.30735,0.4454,0.66911,0.95082,0.0008384,0.0008384,0.0008384
