epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
108,3674.41,0.70099,0.3594,0,0.46463,0.9107,0.96996,0.93916,0.98729,0.87944,0.96796,0.94134,0.97974,0.9494,0.40861,0.21676,0,0.44705,0.69717,0.00190237,0.00190237,0.00190237
109,3697.92,0.69838,0.34086,0,0.46802,0.9088,0.97137,0.93969,0.9865,0.87879,0.96794,0.94102,0.97948,0.94949,0.40191,0.22005,0,0.46324,0.69707,0.00182107,0.00182107,0.00182107
110,3727.73,0.68118,0.31986,0,0.46532,0.89814,0.97066,0.93934,0.98786,0.87882,0.96931,0.94065,0.98161,0.94963,0.40357,0.21903,0,0.49569,0.69553,0.00174116,0.00174116,0.00174116
111,3827.22,0.70466,0.33312,0,0.47124,0.90514,0.96656,0.94071,0.98668,0.88369,0.96731,0.94268,0.97961,0.94944,0.39405,0.21934,0,0.43033,0.6938,0.00166269,0.00166269,0.00166269
112,3922.98,0.67677,0.30952,0,0.45143,0.89899,0.97005,0.94206,0.98821,0.88262,0.96934,0.94136,0.98028,0.94962,0.40067,0.21597,0,0.45299,0.69393,0.00158569,0.00158569,0.00158569
113,4022.25,0.69144,0.32833,0,0.47309,0.90725,0.97039,0.93767,0.98737,0.88432,0.96521,0.9446,0.97984,0.95015,0.39494,0.21423,0,0.44645,0.69273,0.00151018,0.00151018,0.00151018
114,4121.33,0.68715,0.31726,0,0.46049,0.90132,0.96911,0.93975,0.9876,0.88443,0.96906,0.93975,0.98006,0.94959,0.39404,0.214,0,0.46353,0.69306,0.00143621,0.00143621,0.00143621
115,4221.12,0.69499,0.35478,0,0.46502,0.89491,0.97101,0.93975,0.98808,0.88104,0.9689,0.94183,0.97992,0.94953,0.40319,0.21938,0,0.49561,0.69541,0.0013638,0.0013638,0.0013638
116,4319.16,0.69033,0.30867,0,0.46796,0.90036,0.97222,0.93906,0.98872,0.88261,0.968,0.94274,0.98045,0.94965,0.40627,0.21807,0,0.45733,0.69578,0.00129299,0.00129299,0.00129299
117,4370.49,0.68489,0.34327,0,0.45637,0.90416,0.97094,0.93975,0.98803,0.88117,0.97023,0.93906,0.97949,0.94857,0.39758,0.21623,0,0.43762,0.69272,0.00122381,0.00122381,0.00122381
118,4381.15,0.68649,0.3198,0,0.4716,0.90665,0.9707,0.94053,0.98847,0.88368,0.96925,0.94044,0.97976,0.94983,0.40377,0.21245,0,0.43683,0.69315,0.00115629,0.00115629,0.00115629
119,4391.98,0.68886,0.3508,0,0.47112,0.90206,0.97273,0.94252,0.98924,0.88049,0.96865,0.94134,0.97965,0.9502,0.40483,0.21302,0,0.44782,0.69447,0.00109045,0.00109045,0.00109045
120,4402.78,0.662,0.35707,0,0.4426,0.89784,0.9721,0.94118,0.98866,0.88259,0.96986,0.94183,0.97981,0.95062,0.40161,0.21356,0,0.48983,0.69258,0.00102633,0.00102633,0.00102633
121,4413.77,0.67679,0.33109,0,0.47231,0.90632,0.96859,0.93949,0.988,0.88452,0.9693,0.94018,0.97981,0.95071,0.3987,0.21124,0,0.46256,0.69156,0.00096396,0.00096396,0.00096396
